x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.00011,5.00E-05,2.00E-05,0,4.00E-05,0.00076,0.00057,0.00046,0.00034,0.00035,0.00153,0.00126,0.00097,0.00056,0.00046,0.00273,0.00172,0.00159,0.00084,0.001
7.00E-05,4.00E-05,4.00E-05,2.00E-05,3.00E-05,0.00067,0.00044,0.00032,0.00022,0.00027,0.00134,0.00095,0.00069,0.00045,0.00037,0.0027,0.00192,0.00156,0.00102,0.00109
7.00E-05,8.00E-05,3.00E-05,6.00E-05,3.00E-05,0.00053,0.00039,0.00028,0.00028,0.00024,0.00123,0.00095,0.00072,0.00042,0.0004,0.00236,0.0018,0.00108,0.00075,0.00074
3.00E-05,4.00E-05,4.00E-05,2.00E-05,2.00E-05,0.00046,0.00033,0.00018,0.00016,0.00018,0.00108,0.00072,0.00059,0.00038,0.00027,0.00207,0.00162,0.00119,0.00072,0.00059
5.00E-05,1.00E-05,1.00E-05,3.00E-05,1.00E-05,0.00051,0.00042,0.00023,0.00014,0.00013,0.00094,0.00079,0.00038,0.00032,0.00036,0.00196,0.0015,0.00075,0.0006,0.00057
3.00E-05,0,1.00E-05,5.00E-05,2.00E-05,0.00048,0.00019,0.00016,0.00018,0.00011,0.00086,0.0007,0.00041,0.00025,0.0002,0.00159,0.00107,0.00075,0.00053,0.00044
1.00E-05,1.00E-05,6.00E-05,1.00E-05,0,0.00039,0.00034,0.00015,9.00E-05,0.00015,0.00079,0.00048,0.00038,0.00034,0.00021,0.00135,0.00094,0.00075,0.00039,0.00039
5.00E-05,3.00E-05,2.00E-05,3.00E-05,2.00E-05,0.00021,0.00019,9.00E-05,8.00E-05,9.00E-05,0.00066,0.00052,0.00025,0.00019,0.0002,0.0013,0.00089,0.00061,0.00046,0.00039
1.00E-05,1.00E-05,0,0,5.00E-05,0.00024,0.00019,7.00E-05,7.00E-05,7.00E-05,0.00061,0.00031,0.00028,0.00021,0.00017,0.00114,0.00089,0.00053,0.00036,0.0003
1.00E-05,0,5.00E-05,1.00E-05,1.00E-05,0.00024,0.00017,0.00012,3.00E-05,4.00E-05,0.00054,0.00037,0.00019,0.00013,0.00017,0.00091,0.00069,0.00048,0.00032,0.0002
1.00E-05,0,1.00E-05,0,0,0.00018,0.00012,7.00E-05,4.00E-05,6.00E-05,0.00049,0.00022,0.00012,6.00E-05,0.00014,0.0008,0.00054,0.0004,0.00026,0.00022
2.00E-05,0,0,0,1.00E-05,0.00018,8.00E-05,7.00E-05,6.00E-05,5.00E-05,0.00051,0.00033,0.00025,9.00E-05,0.00012,0.00079,0.00061,0.00033,0.00026,0.00011
0,0,1.00E-05,1.00E-05,0,0.00015,0.00012,9.00E-05,3.00E-05,4.00E-05,0.00044,0.00025,0.00016,6.00E-05,0.0001,0.00082,0.00045,0.00032,0.00019,0.00019
0,0,0,0,0,0.00014,9.00E-05,6.00E-05,3.00E-05,6.00E-05,0.00022,0.00032,0.00014,5.00E-05,2.00E-05,0.00061,0.00052,0.00025,0.00021,0.00016
0,0,2.00E-05,0,1.00E-05,0.00019,2.00E-05,5.00E-05,1.00E-05,1.00E-05,0.00017,0.00015,7.00E-05,9.00E-05,4.00E-05,0.00057,0.00043,0.00023,0.00018,0.00017
0,1.00E-05,0,0,0,9.00E-05,3.00E-05,6.00E-05,1.00E-05,4.00E-05,0.00014,0.00015,2.00E-05,4.00E-05,7.00E-05,0.00059,0.00031,0.00014,0.00015,0.00011
0,0,0,1.00E-05,0,0.00012,4.00E-05,3.00E-05,7.00E-05,3.00E-05,0.00011,0.00014,7.00E-05,4.00E-05,6.00E-05,0.0004,0.00033,0.00014,0.00015,8.00E-05
1.00E-05,1.00E-05,1.00E-05,0,0,0.00011,5.00E-05,4.00E-05,1.00E-05,1.00E-05,0.00019,0.00011,4.00E-05,6.00E-05,2.00E-05,0.00042,0.00031,0.00017,7.00E-05,0.00014
0,1.00E-05,1.00E-05,0,0,4.00E-05,3.00E-05,2.00E-05,4.00E-05,2.00E-05,0.00016,7.00E-05,4.00E-05,3.00E-05,3.00E-05,0.00028,0.00018,0.00019,0.0001,6.00E-05
0,1.00E-05,0,0,0,0.0001,1.00E-05,0,2.00E-05,2.00E-05,9.00E-05,7.00E-05,7.00E-05,5.00E-05,2.00E-05,0.00028,0.00025,0.00016,8.00E-05,6.00E-05
