params1,params2
-0.35082668,-0.0022954154
0.54108894,0.022575416
0.34139037,0.07702764
0.6761351,-0.028530564
-0.49895027,0.028155057
-0.37657845,0.038345437
0.54119307,0.1684201
0.40797773,-0.21259004
0.74292535,-0.11384169
-0.5976918,-0.4965564
-0.5731289,-0.35952583
0.4967903,-0.4099746
0.468983,-0.36022198
0.8297998,-0.1316406
-0.59586424,-0.27183658
-0.4929819,-0.19772457
0.6369475,-0.3149472
0.5016309,-0.14741185
0.83429515,-0.0041580372
-0.66048634,0.047633413
-0.5724802,-0.028317895
0.5995232,-0.003721873
0.4876871,0.0048702243
0.80472356,-0.017540658
-0.6346195,0.046202667
-0.53442,0.040908895
0.56582403,0.049267236
0.4417363,0.06931991
0.7613337,0.074866734
-0.5575295,0.027329285
-0.61930573,0.016106734
0.6152503,0.16565928
0.50506055,0.05800334
0.7041996,0.15901917
-0.530029,-0.089888185
-0.60084385,-0.09009179
0.600364,-0.020996796
0.49397087,-0.06488142
0.6453038,-0.1952451
-0.5656334,-0.18948545
-0.50432134,0.07620577
0.6508615,0.099528745
0.56421196,-0.052781813
0.7369932,-0.030766964
-0.57300836,0.1387992
-0.6101598,0.03247647
0.6443726,0.080645874
0.4919947,0.0193086
0.64148194,0.056345515
-0.6127571,0.058543302
-0.7158854,-0.08751451
0.58658177,-0.0042322534
0.4812473,0.075676255
0.6714098,0.024208158
-0.4422701,-0.056316227
-0.7491059,0.014886219
0.4525806,0.013744638
0.36623105,-0.018611858
0.33333555,-0.038867053
-0.29024065,0.1002192
-0.55343145,0.069452174
0.40289417,0.08688601
0.21758915,0.07754395
0.22643532,0.037444975
-0.206734,0.11620783
-0.5451017,-0.0006128139
0.55083394,-0.0073287683
0.34285206,0.12753485
0.54848725,0.019662578
-0.3705432,-0.04769775
-0.6943537,0.068252325
0.13720082,-0.09227727
-0.027141899,-0.091159105
0.08592922,0.029748691
-0.03648233,0.042206135
-0.3167222,-0.0029431367
0.04356426,0.045788445
0.029267348,0.05725495
0.022602877,-0.09556906
0.04711815,0.056074005
-0.06876975,-0.064511806
0.18561754,0.02197252
0.14952682,0.10387146
0.22041997,0.059087757
