params1,params2
0.013985047,0.0696987
-0.28807363,0.01875203
-0.393395,-0.12215046
0.48132682,0.1573109
0.33728072,0.12918751
-0.581768,-0.00403071
-0.41459525,0.099360056
-0.024538659,0.12801562
-0.42131996,-0.009908385
0.5379553,-0.038572147
-0.22531289,0.026417762
0.4776847,0.0049288794
-0.46131158,0.09839898
-0.087557204,0.2732299
0.17449981,-0.04999737
0.06772213,0.28093836
0.33380783,0.059970062
0.0673817,0.101566896
-0.13302553,0.16739807
0.02438087,0.009929071
0.3833068,-0.049511228
-0.31649053,0.2381585
-0.25328466,0.27635157
-0.00610801,-0.10944914
0.42961395,-0.021793943
-0.11594841,-0.12951747
-0.47534412,-0.17340106
-0.20493342,0.041091718
-0.11145258,-0.08345655
0.5322525,-0.06821794
-0.32248148,0.030601757
0.44936758,-0.404194
-0.508406,0.038346615
-0.11933868,-0.31954184
0.36758366,-0.26254043
0.045458764,-0.052452244
0.5446053,-0.1586488
0.08995998,-0.29624674
-0.45050177,-0.38448077
0.3965967,-0.21633108
0.51136273,-0.48356146
-0.02504714,-0.531781
-0.11264521,-0.63968104
0.36261004,-0.39727816
0.1480469,-0.70240456
-0.23834622,-0.4483093
-0.18742096,-0.61387706
-0.091121145,-0.6947719
-0.32065764,-1.0881134
0.3268704,-0.57935494
-0.18645447,-0.80111533
0.14863375,-0.5406167
-0.17810526,-0.55815846
-0.14715095,-0.7339936
0.028994415,-0.5186111
0.3633516,-0.97552705
0.3835238,-0.89832634
0.20484488,-0.42632988
-0.30292332,-0.7627842
0.1427553,-0.8120092
0.51951534,-0.59153885
-0.3048625,-0.66183317
-0.36895368,-0.5939672
0.28464025,-0.87547255
0.55309933,-0.0024796203
-0.46900067,-0.030908508
-0.26081058,-0.07895556
-0.18154444,0.012026276
-0.4462599,0.05310251
0.55524707,0.03177148
-0.5143342,0.08200858
0.1289747,0.14861237
-0.5750189,0.07718222
-0.14999832,-0.043476008
0.041907653,0.10358225
-0.0019648965,-0.0202843
0.19313261,-0.030798135
0.32499394,0.11295817
